torch_version,release_date,backend,backend_version,python_min,python_max,pythons,compute_capabilities,arch_list_raw,has_ptx,platforms,on_pypi,version_on_pypi,pypi_linux_default,arch_source_url
0.1,2023-10-06,default,,2.7,3.5,2.7 3.5,,,False,macos/x86_64,False,False,False,
0.1.6.post17,2023-10-06,default,,2.7,3.5,2.7 3.5,,,False,linux/x86_64,False,False,False,
0.1.6.post20,2023-10-09,default,,2.7,3.5,2.7 3.5,,,False,linux/x86_64,False,False,False,
0.1.6.post22,2023-10-06,default,,2.7,3.5,2.7 3.5,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.7.post2,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.8.post1,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.9.post1,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.9.post2,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.10.post1,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.10.post2,2023-10-09,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64,False,False,False,
0.1.11.post4,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.11.post5,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.12.post1,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.1.12.post2,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.2.0.post1,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.2.0.post2,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.2.0.post3,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.3.0,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.3.0.post2,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.3.0.post3,2023-10-06,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.3.0.post4,2023-10-05,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.3.1,2023-10-05,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64,False,False,False,
0.4.0,2023-10-05,default,,2.7,3.6,2.7 3.5 3.6,,,False,linux/x86_64 macos/x86_64 windows/x86_64,False,False,False,
0.4.1,2023-10-05,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 macos/x86_64 windows/x86_64,False,False,False,
0.4.1.post2,2023-10-05,default,,3.7,3.7,3.7,,,False,linux/x86_64,False,False,False,
1.0.0,2023-10-05,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 macos/x86_64 windows/x86_64,True,True,False,
1.0.1,2023-10-05,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 macos/x86_64 windows/x86_64,True,True,False,
1.0.1.post2,2023-10-05,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64,False,False,False,
1.1.0,2023-10-05,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 macos/x86_64 windows/x86_64,True,True,False,
1.1.0.post2,2023-10-05,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,macos/x86_64,False,False,False,
1.2.0,2023-10-06,cpu,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 windows/x86_64,False,True,False,
1.2.0,2023-10-06,cuda,9.2,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 windows/x86_64,False,True,False,
1.2.0,2023-10-06,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 macos/x86_64 windows/x86_64,True,True,False,
1.3.0,2023-10-06,cpu,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 windows/x86_64,False,True,False,
1.3.0,2023-10-06,cuda,9.2,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 windows/x86_64,False,True,False,
1.3.0,2023-10-06,cuda,10.0,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64,False,True,False,
1.3.0,2023-10-06,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 macos/x86_64 windows/x86_64,True,True,False,
1.3.0.post2,2023-10-06,default,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,macos/x86_64,False,False,False,
1.3.1,2023-10-06,cpu,,2.7,3.7,2.7 3.5 3.6 3.7,,,False,linux/x86_64 windows/x86_64,False,True,False,
